陈小强(00:00:01): 小梁主持，小梁主持，小梁主持，
程志斌-永和资本(00:33:17): 等我们比方平台启示了之后再慢慢耕耘，再慢慢增加，

陈小强(00:33:24): 对，

陈德雷(00:33:24): 对的。

陈小强(00:33:25): 小梁我是这个想法，因为，所以我们现我们5个人现在都是原始股东了，

朱学峰(00:33:29): 身体不好吃你的。

陈小强(00:33:31): 我觉得是这样的，我谈一个我的看法，为什么那天写的时候可能兄弟们可能想为什么不让我写1号位，因为为什么？看法，后面对外很多层面，你直接出面德利总一样的，他是 sigma 的 ceo 就是90%的事情基本上都是他出面，那我其实可能就说的直白一点，我就是保驾护航大的方向上，我们确定好，我希望后面的整体的运营思路是你来拿我。

陈德雷(00:34:00): 对。

陈小强(00:34:04): 我也好，志斌总也好，朱总也好，德雷总也好，我们都是辅助抵达。

Gavin(00:34:11): 明白！

陈德雷(00:34:11): 对。

程志斌-永和资本(00:34:11): 我们都是你的兵！

陈小强(00:34:13): 对，我们把资源对接给你，

Gavin(00:34:15): 那不存在！

陈小强(00:34:17): 对，我们把，你来，我会，我会把所有的资源全部对接给你的，对，因为你这个东西。

程志斌-永和资本(00:34:24): 对。

陈小强(00:34:25): 你要全新的把你的事情，你的精力铺在上面，我们要给你极大的自主权，对，意思很多事情，当你来了，你摸到温度，你感受，你要有自己的思路，我们的思路不一定正确，

Gavin(00:34:41): 对。

陈小强(00:34:42): 你知道吧？

Gavin(00:34:42): 我明白，

陈小强(00:34:43): 我可能因为我在这边时间比你长了，

Gavin(00:34:43): 我明白。

陈小强(00:34:46): 我可能会有一个思路，因为你当后面慢慢慢，你你自己对业务上越来越有感觉，那你你思路会做一些调整。明白我的意思，这个东西我们大家都商量。

Gavin(00:34:57): 对，我得先过去，

朱学峰(00:34:58): No. 

程志斌-永和资本(00:34:59): 这个也差不多是可以。

Gavin(00:35:00): 所以你看我二话不说，我先把机票订了，这先得过去再说。

朱学峰(00:35:08): 他们吸水先不要。

Gavin(00:35:09): 行，现在融资这方面的朱总现在大家这个意向怎么样，

朱学峰(00:35:16): 好。

Gavin(00:35:16): 这样接下来看转化是我们需要数据？需要怎么样，我们再去沟通一下，就看朱总这边融资这方面，我们怎么去赋能？

程志斌-永和资本(00:35:26): 你这整的我要我这整的你要饭了吧，

Gavin(00:35:32): 朱总能听到吗？

程志斌-永和资本(00:35:33): 这门是哪边左边？

朱学峰(00:35:33): 能听到。

Gavin(00:35:36): 那个志斌总你这边有点声音。

朱学峰(00:35:38): 里面有杂音？

程志斌-永和资本(00:35:38): 我把！

朱学峰(00:35:40): 声音太大了。

Gavin(00:35:40): 你这边。

陈小强(00:35:40): 谁在。

陈德雷(00:35:41): 啥意思？斌哥那边的？

Gavin(00:35:43): 兵哥那边的对。Ok。

朱学峰(00:35:50): 好，现在是这样子的，能听到吗？

Gavin(00:35:53): 能听到。

朱学峰(00:35:54): 融资大概开始的时间，是从从7月25号左右开始正式开始。融资的，当时就是 ppt 反正也还没有，现在目前大概总体来讲是经历了六轮到七轮的这样的一个融资，面对不同的客群，我给大家介绍一下，

朱学峰(00:36:21): 你们能，我感觉我这边不动了，你们那边能听到吗？

Gavin(00:36:25): 能听到画面不动了，可能画面这边会比较耗带宽，要不咱们把视频关了吧，对。

朱学峰(00:36:33): 我来把视频关掉！

朱学峰(00:36:38): 是这样子的，第一波是单独去见了上海的，相当于所谓的资方，去了之后，他说回头会介绍一些大咖给我们，但目前没介绍，真正有作用的就是跟长江商学院的和正和岛的这一波人，资兵参与的这一次融资是比较成规模，然后成体系的做了详细的是7月25号还是26号这边我不知道记不记得这是一，这是第一次。正式开始融资，讲完之后，现场，第一次是在我们公司，当时，感兴趣的，真是真正感兴趣的是一个大姐是做旅游的，做境外游和境内游的做的比较大，她也投资过一些公司，她也目前表达出来了强烈的信号，愿意投资。

朱学峰(00:37:42): 这是，目前叫王雨珍大姐老太太她是想投的，但是现在她人在英国还没有，还没有回来，她大概我跟她约的大概是在8月。8月15号8月20号左右见面，好像是8月18号以后见面，他回来，这中间，我马上会把今天跑出来的 ppt 先发给他，正式形成的版本发给他。这是目前比较有意向的，但是他不会，投这么大，我估计投个两三百万，我觉得老太太是没问题的，这是第一个意向比较强烈的，这是在我们公司的那次，融资会上面，表达出明确强烈投资欲望的，

朱学峰(00:38:29): 这是志斌也知道志斌。对。

程志斌-永和资本(00:38:34): 我在，我在！

朱学峰(00:38:35): 这个人你也知道，这是，

程志斌-永和资本(00:38:37): 对。

朱学峰(00:38:37): 这是，这是第一次，第二次是，紧追，紧接着随后的7月27号的样子，三天后他们去长江商学院这帮人去肯尼亚了，在他们临出发前三天做了一个大概22210多人的融融资，详细的，就是给他们做了讲解。

朱学峰(00:39:02): 现场，大家，以刘静总为首的和田田总为首的两个老总提出来让我们。形成完整的，招股书和融资报告，然后发给他们，他们从肯尼亚回来之后，他们会，把真正有意向的人形成一个相当于叫，打包，他们这里面比如说有三个人还是5个人有意向，他们共同来看每人出一点钱，形成一个包来投资我们这个项目。但他目前还没回到中国，我已经跟刘静总那天德雷招待他们时候我已经讲过了，回来我会接风，然后并同时把这件事情给他明确，这是第三波融资会，

朱学峰(00:39:54): 第四波融资会是，大概就是。因为我节奏太快了，我每天会太多。第4波因为我每天的强度可能比你们所有人都大，虽然你们可能没感觉第4波就2-3天前，南京的专门。做企业出海的俱乐部叫启航俱乐部，他这里面的企业家，基本上，大部分，人都是在海外，就家族，都是，就家里面的小孩都在海外，自己，要么在海外有生意，在国内有生意，基本上小孩全出去了，这个条件？

朱学峰(00:40:31): 大老板不多，虽然小孩都在外面，但并不是像长江商学院，那些或者正和岛上面那些相对而言，企业做的都还可以，基本上都过亿的了。这帮人，怎么讲，他们也表达出来一个意愿，看看能不能，他们每个人出一点，形成，但是他们是当时我感觉没有长江那么专，长江和珍和岛那帮人那么专业的欲望，但是也表达出来了想。投我们这个项目的欲望，说每人出个几十万，几万，形成一个包来投我们这个项目，这是我第四次正式的融资会。然后第5次，昨天在沙利文，沙利文相对，我们小圈子就是保上海静安区的区长，什么，上海市市场监管局局长，包括沙利文的董事长，总经理，都属于，比较顶层的，讲出来之后，他们表达的感觉，还是要等软件上线。要看到东西要有数据跑起来，他们要看到真实的交易数据之后，他们，他们手上有大量的资本，但是，觉得目前像我土老板拿一个，ppt 给他们手机上画画。他们是，目前总体感觉我讲这个东西，因为这些都是见过世面的嘛，都是国际派嘛，就觉得。

朱学峰(00:42:07): 目前还没到火候，并没有，因为我昨天在沙利文的时候是两个项目，是我们飞快达，一个是我们的合拍云合白云，我们融资已经融了快大半年了，到目前为止，我们数据上面已经跑得非常漂亮，大家都觉得好，他妈就是不掏钱。

朱学峰(00:42:24): 那这是昨天在上海，就是沙利文的一个情况，我跟沙利文的大中华区的老总已经约好了，等我从内蒙古回来，我会到上海跟他再见一次面，详细的。跟他来讲讲看他个人，他个人是，因为沙利文也是被中国人不断的，渗透在中国的公司，他们好多像大中华老总，他自己私下也有一家公司投资公司叫投报，他表达了项目，也会投，但是，他要详细的了解，这是第5次融资，然后第6次融资，

朱学峰(00:43:03): 今天，今天是单单对单的两两场。上午那场是，面对的是我们民民革的主席，他带了一个跟我们马新省长。关系比较好的一个老总，他一年大概做三四个亿，老总他准备把他现在得了癌症，他准备把公司关掉，然后他表达了他能拿5000万出来给我，但是，目前我没跟他深聊他，他对我们的这些项目，他只是概泛泛的表达了一下，他说如果项目好，我到时候拿个5000万给你。

朱学峰(00:43:39): 他是我，因为今天第一次跟他见面，这个人能量很大，他跟现任的李强总理是经常在一起的，然后跟现任的很多领导都经常到他家去，我不知道为什么，因为明革的主席今天没给我讲什么原因。这个人也是央企的老总，然后退休，退休了，现在70岁了，但他今天是表达了，他说他反正在最后结尾的时候，他说，你这些项目挺好的，到时候我给你拿个3000万~5000万给你，反正只是一说我，我下一步准备，到时候，到他家去一趟，这个人看看面相是个土，土八路，土八路，但是我再跟进一次之后看看要不要梁总到时候介入。他对梁总，对我们团队非常的认可，觉得我们都是，技术型的人，都是，科技型人才，他非常的向往，他自己是家里面有他弟弟，我隐隐约约能感觉到他弟弟是中央的目，目前某个重要的首长，这是今天第6次融资，

朱学峰(00:44:41): 下午是跟我们仪征商会的王军会长，特地跑过来听我非洲的项目，王军会长陈志斌有点印象，他也是，有点钱的，在美国在好多地方都有产业，然后在南京有几栋楼有酒店，然后听完之后？

朱学峰(00:44:56): 听完之后，他也表达了一定的兴趣，但是我们仪征人，我不抱太大的希望，要拿点钱不太容易，

程志斌-永和资本(00:45:05): 周总，周总，周总我们不，我们不自我批评家乡嘛！

朱学峰(00:45:13): 总共目前大概从肯尼亚回来，这一段时间，正式进入融资，大概一共进行了7次这样的，告诉别人我来融资的，要钱的进进行了7次，大概情况目前现状这样子，大家其实也知道梁总因为我不是专业的，我第一次我人生第一次开始融资，我以前从来没有融过资，都是我给人家投资比较多，

Gavin(00:45:42): 朱总你已经很强了，这么高强度，还是得，我明白得正儿八经去跑起来，有一些业务数据可能才会好用一点，现阶段可能真的得。

朱学峰(00:45:54): 目前我想了解的就是因为我不专业，但是，我知道目前我这里面肯定是有很多隐形的，虽然我还没有扩大面，专业的机构，我能找到很多，我因为这两天强总说要加大强度，加大效率强度，我不敢讲，我效率已经很高了，但是，我接下来会找一些专业的风投机构，就类似于，叫什么来着，红杉资本，因为我能找到我能够快速的把这些大资本全部集结过来，听听你的路演，如果有必要的话。

Gavin(00:46:33): 现第一阶段这些大资本不行，因为不现实，

程志斌-永和资本(00:46:37): 不现实，不现实。

Gavin(00:46:39): 因为第一笔种子投资，种子轮就是融人说白了对人靠谱，他是对人的信任，然后去投的，他没有去过非洲，也跟朱总您关系，没有那么的铁，我觉得是比较困难的，所以，现在来说最好就是找找。对非洲已经有了解了，有认知了，然后有一定的资金实力，这样朱总你这边又有比较强的信任感，然后我们再把我们现在肯尼亚做的事情，他可能也去过，也看过见识过。

Gavin(00:47:22): 满足这几个画像的人，可能才能够作为我们第一顺位的画像，要不然你现在专业机构的人，

程志斌-永和资本(00:47:32): 对。

Gavin(00:47:34): 你现在东西平台都还没有，我都还没过去。你说。

程志斌-永和资本(00:47:38): 杨总。

朱学峰(00:47:39): 这就是昨天我在沙利文跟沙利文的全球董事长以及沙沙利文董事长是，是美国的嘛，昨天过来了，跟我们一起吃饭的，然后大中华区的老总，大中华区的董事长，他们听我讲完之后，就是意思，因为他们可能见的这种东西太多了，沙利文毕竟他们扶持了他们，

Gavin(00:47:58): 对。

朱学峰(00:48:00): 他们这一波投资了全是芯片，全是 ai 全部都上市公司，全他们投的沙利文在中国挣了太多钱了，昨天他们一场活动就投了将近1000多万，

程志斌-永和资本(00:48:08): 对。

朱学峰(00:48:11): 这一场活动花1000多万，你们真的舍得花钱，他挣到钱了就要花到用户身上去。

程志斌-永和资本(00:48:17): 对。

朱学峰(00:48:17): 专业机构，我常总昨天群里面一发今天群里面一发，我当时就想我要不要把这些，因为我现在。

程志斌-永和资本(00:48:28): 没声音了。

朱学峰(00:48:29): 是我这两天投了！

程志斌-永和资本(00:48:33): 刚才没声音了。

朱学峰(00:48:34): 我这两天在想，要不要把这些因为要快嘛，快的话说民间资本做事情是很松散的，你越逼得紧，他会害怕，我不知道。陈总你能不能理解，你如果盯他很紧的话，说他会觉得你在骗他，或者你你朱老板怎么迫切的想要这个钱，我还不能表现的，想去跟他要钱的那种感觉，你表现出，这个事情是给你带来好处的，说句心里话纯粹是拿我的个人信用背书去，去做这件事情的，这个过程，我只能通过大量的去找我的朋友去说这件事情，才能加快进度。否则说我不敢，我这没有底，谁能第一个掏钱，当然我准备把前面这六七波的融资的里面把一些重点的人挑出来之后，马上就开始点对点的给他去上正规化了，一个把 ppt 发给他二个就是让梁 cu 就要开始介入，然后给他进行，相对专业的灌输，看看是不是什么逼单就逼他赶紧就是用用巧妙的方法来。

程志斌-永和资本(00:49:52): 小柱，对，老朱现在是这样子的，我大概你还记得，那天还在内罗毕的时候，我就做过这样的预判，第一波，我们种子轮，你肯定是不要找专业机构，必然碰壁的，哪怕我们规划的再好，或者说我们团队组建的再好，专业机构是很难出手的，当时我们，我们定过调，这是。

程志斌-永和资本(00:50:19): 第二个，那下一步比方说我们之前，有我参与的，或者没有我参与的，我们梳理了这么多下来，理论上来说刚才什么梁总也发表这个意见了，我们看法是一致的，基本上第一轮就是投人，里面。你你个人的信用在这个圈子里面，在这件事情上面占比是非常大的，可能要占到70%以上，比重，换句话说，人家都是看着你老朱，才看好这个事情的，顺便他再会进一步的了解，你的你谈这个事，你的团队的构成专不专业，那这里面就会涉及到，梁总的专业，履历，包括，我们肯尼亚的资源，目前具备的一些数据，西格玛跑的数据，德雷总强总就是说，后台支撑，包括我个人的些履历，上市的方向。下一轮可能会变成这样的，第一轮我们这样扫街，还是保持你这样的扫街的这个这样的节奏，但是要规避掉就不用去找专业机构了，因为找专业机构的90%多的概率是没有下文的，基本上是不能说做无用功嘛，你最多是现在种个草，

程志斌-永和资本(00:51:34): 比方说到第二轮，到下一轮到下下轮再融资的时候，他们，之前什么了解过事情，我们做半年一年，已经，已经跑到了哪些，数据出来，营利数据也好，或者市场覆盖率也好，市占率也好，等等的这些出来之后那就好谈了，这样一个逻辑，

程志斌-永和资本(00:51:55): 比方说我们在明确有意向的第一轮的人群里面筛选出来的，由梁总来介入的话，他会表现的很专业，但是，我们心里要有数，我们现在的所有的专业在这些不专业的投资人眼前的话，他最多就是一个 feel，一个感觉，他感觉会就会阴阳分会加分，他没法去准确的从专业角度来去评估专业的力量，或者说专业的团队在这里面对事情的成功起到多大的决定因素，他是没有具体的感知的，他也没法去量化的，我们心里要有数，肯定会加深阴阳分，那最终会，会达到100%。大概是这样一个逻辑，我补充两句的，

朱学峰(00:52:38): 可以的，反正目前就是我看了一下刚才行程日程正式开始融资是从7月23号开始的，就第一次，然后到现在，总共从最早没有 ppt 到今天正式有 ppt 总共经历了7次正式的忽悠，哈哈哈目前大概情况就这样，接下来，我肯定会全力以赴的。去把更多的我觉得有可能的这些资源和人。整理出来，

朱学峰(00:53:12): 马上明天，后天，后天下午我还会参加一个大型的活动，我可能也会找机会，在里面再次进行路演。全力的往前推进，我也希望志斌你手上有，因为你们，因为公司毕竟是大家共同的，我莫名其妙变成了产业融资了。**我也从来没干过这个事情，我说心里话，但是我既然大家，看得起我，我肯定就是义叫义无反顾的去做这件事情，既然是有这么大的梦想，我也希望志斌你手上你也认识那么多有钱的老板，该你也要赶紧去融，

朱学峰(00:53:53): 然后梁总更有经验，你你以前已经有两次成功的经验了，我觉得你也可以在你的圈子里面去，融一融，然后强总这边包括。德利这边同德利成功的把我融到肯尼亚来了，德利身边的资本也可以去，

陈德雷(00:54:11): 哈哈。

朱学峰(00:54:12): 融融，我觉得大家你弄100万。

程志斌-永和资本(00:54:13): 这里是成功案例，

程志斌-永和资本(00:54:14): 是眼前的成功案例，

朱学峰(00:54:16): 对，你你弄100万，他弄100万，你弄300万，不就一波就成了嘛，

陈德雷(00:54:20): 对！

朱学峰(00:54:23): 我也肯定是希望我一个人把这事情搞定，但是，毕竟。东西？第一波融融资土老板，也许我今天下午见的人搞不好一个人就把他干掉了，但是，毕竟掏钱他德雷从我口袋里面把这钱掏出来，经历了两轮慢慢的磨合，还是经历了。

朱学峰(00:54:47): 真实是这样的，我毕竟就是这个时间节点我们肯定是全力往前顶的，但是我希望，大家一起一起努力吧，大概就这样子，

陈小强(00:54:56): 好，这样的我来说两句，

陈德雷(00:54:59): 辛辛苦，

陈小强(00:54:59): 辛苦总，

陈德雷(00:55:00): 辛苦杜总，辛苦杜总！

陈小强(00:55:02): 这样的，我觉得老朱怎么老朱这个讲话，我跟你讲虽然措辞很一般，但是真情流露，真情流露，我觉得真情流露，我觉得是这样的，我觉得老朱讲的很对的，他说的也比较委婉，我觉得是这样的，我觉得我们每个人大家都各自发挥自己的力量，

陈小强(00:55:24): 要去，

陈小强(00:55:26): 包括我包括磊大对，我们发挥力量，然后找身边的人去把第一笔先解决掉，里面我是为什么？因为是这样的老朱你也不要太有压力，体重不是说给你压力，给你个人压力。

陈德雷(00:55:26): 对。

朱学峰(00:55:40): 是这样子的，我打断一下子，陈志斌最早我们第一波是准备融500万的，是我骚你，我说妈500万我对我自己比较有自信，但是我相信1000万我肯定是能，我们一起努力，1000万肯定是能融得到的。

朱学峰(00:55:55): 志斌一一早就提醒我，他说这种天使能融融1000万跟融500万是有本质区别的。找我们这些土老板拿个100万，拿个200万，稍微忽悠我们就拿了，让我拿1000万这个角色的逻辑就会非常的漫长和谨慎，

朱学峰(00:56:12): 对，所以陈志斌一直跟我讲，他说你1000万融不到，你降到500万保证就快了，因为500万的信任基础就相当于。降下来很多两三个人就搞定了。我们可能把1000万这个逻辑可以不要，还是1000万，让这种拆叫拆成零的化成，我不知道行不行，两个 ceo 在这边说找一个土老板或者两个土老板把它解决掉，可以说，找很多个三四个土老板。

Gavin(00:56:45): 要是一个前期的早期股东不能太多，因为到时候很难控制的。

朱学峰(00:56:49): 不能太多。如果他们形成一个，他们自己形成一个打包来跟我们玩？不可以？

Gavin(00:56:55): 那他自己可以搞一个私募吧。

程志斌-永和资本(00:56:58): 叫有限合伙，

陈小强(00:56:58): 雪良！

朱学峰(00:56:58): 那行。

程志斌-永和资本(00:56:59): 他们搞个有限合伙嘛，

陈小强(00:56:59): So now. 

程志斌-永和资本(00:57:00): 相当于打包嘛，

朱学峰(00:57:01): 好。

陈小强(00:57:01): 小兰，小兰，小兰我来插一句，

朱学峰(00:57:03): 好。

陈小强(00:57:04): 我们，小兰你思维固化！无所谓，无所谓。为什么？我讲给你听一下，因为这是属于海外，他妈想嗦不了，我直接讲的很直白，我举个最简单例子，我这样讲，那是因为老朱他来有德雷的性能，我说的直白点，假如我是个坏人，老朱前，

陈小强(00:57:29): 我想让他打水漂，他就打水漂，他一点办法都没有我。

朱学峰(00:57:32): 那我找德雷，我就天天滴死德雷嘞，我妈融进来钱拿，

陈小强(00:57:36): 对不没老宋你，

朱学峰(00:57:37): 你没办法，他们拿我有办法的，他们天天来骚我，我现在投的，你听我讲完，我不是投了有20多家公司嘛，

陈小强(00:57:44): 老宋我。

朱学峰(00:57:46): 现在所有的这些公司，但凡做亏掉的那些，职业经理人或者小股东或者操盘手全跑掉了，最后几百万，几百万，上千万的债务，全是我一个人兜掉的，我就捏着鼻子兜掉，我要负责，不然我的信誉度是在国内不会形成这样子，领导那个领导都信任我的，你们能理解我讲的意思吧？

陈小强(00:58:03): 我知道对老师，表达的是什么意思？我跟我举这个例子告诉小梁什么意思？海外跟国内还是不一样的。我跟你讲，你国内它可能会插来插去的，海外它是很难插的，因为但是，我虽然这么表达，这个事情我们是要做成自己的事业来做的，我告诉你海外跟国内你这个思维要做转变了，我举个例子给你听一下，德雷刚开始来的时候，做很多事情，因为在国内，我们做乙方做惯了嘛，那客户都是至上嘛，当然，这客户至上，我到海外来我们就转变了，我们一定要把站着把钱去挣的什么逻辑，就跟国内是有一个很本质的区别，是不是？你去求是求不来客户的，你就自身要有核心竞争力，在海外就这个样子的，你要硬，你不找我，你他妈的，你也能做得起来，但是你困难比较多，你明白我的意思。逻辑上可能还是有些，我觉得什么？我谈谈我的看法，

陈小强(00:59:15): 志斌总你也在，我觉得是这样的，就是我们前期是我觉得刚开始前期的时候，在第一笔融资的时候，包括我们前期去做的时候，我们不要给自己设置太多的条条框框。你就想，你就想，我们想一个，因为我经常看毛泽东，毛泽东语录经常看毛泽东传记，你看在初期的时候。他其实不拘一格降人才的，你看资本家，他也把他团结进来，他是社会主义道路，他为什么把资本家团结起来，我觉得前期我们目标要清晰，白了我就要拿到融资。我要开始快速的干事情，我们不要给自己设太多的条条框框，后面慢慢再去纠正，你不可能想的太全面了。

朱学峰(01:00:04): 但是我们要给融资的给钱的这些人设条条框框，

陈小强(01:00:05): 我觉得我们。

朱学峰(01:00:09): 否则的话说。他一定会。

陈小强(01:00:11): 对，我赞同这个观点就是我们前期不要给自己设太多条条框，包括小梁，你来了之后你会发现我跟你讲，当你感受到很多东西的时候，你会发现你的思维思路会发生变化的，你明白我的意思，你前期不要以国内的经验这些东西去衡量这些东西，我觉得我们要有个目标，我前期我要融到1000万，我就是刚才老朱补充的就是我们自身要有原则，你比如说我融了这些资本。他具备我几个，我要给他提几个条件，你明白我的意思？对，我们想清楚就可以了。

Gavin(01:00:52): 我们就抓着底线原则就行了，我们，

陈小强(01:00:55): 对，我就这个意思不要。

Gavin(01:00:57): 我们要我们那，那我们要测算一下，到时候来了之后我们要测算一下。要跑出第一笔的数据，要把这些东西搞出来，到底需要多少钱，这个可能我们得做个预算。

陈小强(01:01:08): 你说白了你你，小梁你也不要那么精准，我觉得什么？你这前期你不要那么精准，前期你也只要考虑一件事情，你比如说，为什么？小梁我说你不要前期不要那么精准，我觉得是几个层面，我提一下我的感受，小梁当然你精准也是对的，我不希望你精力后面耗费在这么多上面，我觉得你还是考虑考虑业务层面的事情，

Gavin(01:01:31): 是我！

陈小强(01:01:34): 刚开始来的时候，比如说我们做清关业务的时候，我很简单，我直白的，因为我接触了三十几家清关公司，帮我做清关的，我接触了三十几家，我发现通病。他妈清关效率太低了，价格又高，清关效率太低，动不动能不见，我当初就跟德力谈了一点，**的我们都做，只要把效率提升上来，有一定的性价比靠谱，凌晨2点钟客户找你都能找得到，妈的，我觉得我们肯定能做好。我是一个朴素的东西，那我肯定能挣钱，这么简单，你明白我的意思，你刚你在做的过程中你慢慢去精细化，但是前期我觉得核心的要素是把业务跑通。

陈小强(01:02:12): 这是最核心的团队，有业务，有团队，你核心成员，你有团队，然后你业务跑通了，你觉得，这条路是可验证的，是没有问题的，商业模式是没有问题的，才是我觉得最重要的。

Gavin(01:02:12): 对是。

Gavin(01:02:27): 我知道。

陈小强(01:02:28): 你比如说再像我们过来投工业地产也是一样的，你一来你一个很朴素的感觉就是**的这边的他妈厂房建的跟屎一样**，那我只要靠谱，我6个月就建好质量靠谱，跟其他家形成鲜明的对比，那我觉得这东西就有市场，很多东西你跑到一线，你我觉得是什么？我觉得毛泽东讲的一点很重要，一定是。边干边学你不可能想那么完美的，你在干的过程中一定是要有纠正的，你不能不可能刚开始前期把路径设计的很完美，我觉得这个思路我觉得是不对的，

陈小强(01:03:02): 你我们做软。

朱学峰(01:03:02): 这样子强强董事长就是你你讲的逻辑，

Gavin(01:03:02): 我明白，

朱学峰(01:03:05): 我们都没问题的，现在我刚才提的问题我们到底是，比如说让，10个人一人出100万还是说，让尽量让，2~3个人来出这1000万就是。

Gavin(01:03:22): 都可以。

陈小强(01:03:22): 我觉得都没问题，

陈小强(01:03:24): 我觉得都没问题，老师因为最终10个人出100万也好，2~3个人出100万，最终他一定是公司进来的，他不是以他个人进来的。

朱学峰(01:03:35): 专业的东西到时候就是志斌也好，梁 ceo 这边也好，梁总也好，你们到时候要把专业的，因为我把第一步打通之后，我肯定会把逻辑跟人家讲清楚，我肯定不能带着任何，忽悠的层面，我个人看好，我觉得这个事情反正投资肯定是有风险的，我们是不承担你们投资的任何，

朱学峰(01:04:00): 梁总你在之前的融资过程当中，你你们会去强调这些逻辑吗？

Gavin(01:04:05): 那都是专业的投资者，

朱学峰(01:04:07): 他就不用讲。

程志斌-永和资本(01:04:08): 专业投资者，他不用讲的，大家都懂的，他主要是什么？

Gavin(01:04:11): 对。

程志斌-永和资本(01:04:12): 我翻译一下这个中翻中，梁总的担忧，我们整个，正儿八经干资本行业的，因为他是连续创业者，他接触了很多，资本行业的专业机构，我们的思维逻辑是保持同步的，他是这样的，如果说早期的种子种，种子轮投资人，因为他们不是专业投资人，后期公司经营，必然因为这创业公司嘛必然会有，波动或者说在创始团队有一些规划，

程志斌-永和资本(01:04:44): 比如说像我们上一轮聊到这个话题，比方说，我们要设置一。机构，可能会花一些成本的，但是我们是符合，是为了辅助达成我们的战略目标的，比方说我们控制海关，或者怎样子的，投资人他可能不一定认可，

程志斌-永和资本(01:05:00): 他就会在比方说，半年的季报，半年报，年报上面，他可能就会发表一些这样那样的意见，可能会左右你的决策，就很烦，你知道吧，这是主要的，七嘴八舌人多反而烦，你要做工，做工作，做思想沟通的话，你跟两三个人，一两个人沟通好，沟通，七八个人10个人，难度会大很多，会造成工作后期的阻碍，当然，意见是这个意见，我们有的结合大家的意见，在我们有的选的情况下，

程志斌-永和资本(01:05:34): 尽量，投资人人数越少越好，

程志斌-永和资本(01:05:39): 在没得选的情况下，

朱学峰(01:05:40): 可不可以，

程志斌-永和资本(01:05:40): 那该融也要融。

朱学峰(01:05:42): 我打断一下可不，

朱学峰(01:05:43): 我们在融他们钱的时候，就把所有东西写清楚，让他们闭嘴，你不管我，你既然投你不管，不要管我这个钱怎么花，

程志斌-永和资本(01:05:50): 朱总，朱总，

朱学峰(01:05:51): 你也不要去做任何干预，

朱学峰(01:05:53): 你不要去！

程志斌-永和资本(01:05:53): 杜总，

程志斌-永和资本(01:05:54): 朱总，我跟你说文字上都是可以做到的，比方说投票权，决策权，这样那都可以做到的，

朱学峰(01:05:59): 0222。

程志斌-永和资本(01:06:01): 但是什么种子？一般都是关系户，都是大家都是朋友圈的或者生意圈的，或者说间接直接的连来，但人家说话，那我现在，比方说勇哥跟我也有，投一些项目，你说他假如说有些话讲或者什么的话，我能不去处理吗？那你能说完全按照合同来，你闭嘴，那这样肯定不好嘛，

程志斌-永和资本(01:06:22): 是不是，大概就这个意思，

朱学峰(01:06:22): 理解，理解，理解！

程志斌-永和资本(01:06:24): 你你揣摩一下。

Gavin(01:06:25): 对，前期还是容忍仍然认可，

Gavin(01:06:29): 我觉得，现阶段，一个他们没去过，没有去看到真实的业务，我觉得在组的老板，也会比较困难的，我觉得现阶段第一得尽快过去，然后我这两天再跟德雷总这边学习一下里面的业务，但是确实要得过去，我们得有一些最基本的产品，得跑尽快的一两个月，一个月我们就得跑一些数据出来。然后有这些数据了，之后，再去融，因为当时香港这边第一笔我也是拿到了产品，我们自己搞了产品，搞了给投资人这边去看，再跟他讲逻辑，再跟他讲规划，那才能够拿得到的。你现在早就过了，靠一个 ppt 就能够融资的。这个时候，刚上加上又是海外的项目，我觉得真正最后能成功的土老板，一定是去过肯尼亚。

Gavin(01:07:35): 见识过我们的业务，做过我们的实地的考察，对老朱这个或者对我们都有信任度，这种情况下，我们，跟他讲，要成立基金，来做，这样的才能够落地，是比较，稳妥的这个方案就看到的是大概率是这样子。

朱学峰(01:07:58): 你你你讲的我非常的认同，目前比如说我前面忽悠了一一波一波的，他们以就是基于比如说一些信任和对我现有集团的信任，他们认为这件事情包括我用大量的视频和照片，他们已经打动了一些，但实际没有来过的，也没看我真实很系统的去讲的，即使有钱眼神是空洞的，眼神是你再讲三次5次，他也说好，然后就没有下文了，你再去跟。他有钱，他也听着觉得有劲，但是，他不会往下接话，也不会往深度去探讨，因为他对非洲有一种莫名的。不确定这种感觉，像德雷你这两天在肯尼亚接待的前两天接待的刘静他们马上一回来，我感觉他整个他们体系是我的一个重点。

Gavin(01:09:02): 对，如果不来过非洲的，你就想让他钱投过去，除非他真的是你的非常好的亲戚，信任度非常高，才行，要不然现在不跟以前不一样了，你现在你说产品没有，那肯定说不过去。第二个就算你产品，因为现在 ai 嘛搞个产品也很快，你没有去实际的去跑跑一些业务数据出来，也不行，所以我觉得有真实的业务得跑起来得有一些数据，

